datetime,temp_heated,temp_out,temp_low,temp_high,moist_F,moist_V,moist_E,moist_true
2024-10-19 15:18:52.181000+03:00,,,,,159.10,150.80,173.40,
2024-10-19 15:18:53+03:00,66.90,14.60,31.60,11.70,,,,
2024-10-19 15:18:55+03:00,67.10,15.20,30.70,10.60,,,,
2024-10-19 15:18:55.553000+03:00,,,,,160.30,151.45,173.70,
2024-10-19 15:18:57+03:00,66.50,14.80,30.60,10.80,,,,
2024-10-19 15:18:57.228000+03:00,,,,,158.60,150.15,172.60,
2024-10-19 15:18:58+03:00,66.70,14.70,30.60,10.90,,,,
2024-10-19 15:18:58.923000+03:00,,,,,161.25,151.75,173.95,
2024-10-19 15:19:00+03:00,66.20,14.60,31.00,10.80,,,,
2024-10-19 15:19:00.613000+03:00,,,,,160.00,151.10,173.50,
2024-10-19 15:19:02+03:00,67.20,14.70,31.00,11.20,,,,
2024-10-19 15:19:02.318000+03:00,,,,,159.40,150.80,173.60,
2024-10-19 15:19:03+03:00,66.40,15.10,30.80,11.10,,,,
2024-10-19 15:19:03.978000+03:00,,,,,160.00,150.80,173.05,
2024-10-19 15:19:05+03:00,66.20,15.00,30.40,10.80,,,,
2024-10-19 15:19:05.713000+03:00,,,,,158.75,150.50,173.05,
2024-10-19 15:19:07+03:00,66.50,14.70,31.00,11.30,,,,
2024-10-19 15:19:07.413000+03:00,,,,,158.60,150.50,173.20,
2024-10-19 15:19:08+03:00,66.60,14.90,31.10,11.10,,,,
2024-10-19 15:19:09.097000+03:00,,,,,158.10,150.50,173.45,
2024-10-19 15:19:10+03:00,66.80,14.70,30.50,10.80,,,,
2024-10-19 15:19:10.783000+03:00,,,,,158.65,150.50,173.00,
2024-10-19 15:19:12+03:00,66.40,15.10,30.60,10.60,,,,
2024-10-19 15:19:12.485000+03:00,,,,,158.80,150.15,172.25,
2024-10-19 15:19:14+03:00,68.30,14.90,30.40,11.00,,,,
2024-10-19 15:19:14.148000+03:00,,,,,160.15,150.50,172.40,
2024-10-19 15:19:15+03:00,66.50,14.70,30.30,11.10,,,,
